,vowel,time_point,x,y,token
0,i,0,497.92,333.73,0
1,i,1,498.14,329.81,0
2,i,2,498.54,325.91,0
3,i,3,499.06,322.04,0
4,i,4,499.68,318.2,0
5,i,5,500.35,314.38,0
6,i,6,501.11,310.59,0
7,i,7,502.1,306.82,0
8,i,8,503.26,303.07,0
9,i,9,504.54,299.36,0
10,i,10,505.89,295.69,0
11,i,11,507.27,292.07,0
12,i,12,508.8,288.49,0
13,i,13,510.45,284.94,0
14,i,14,512.18,281.43,0
15,i,15,513.95,277.95,0
16,i,16,515.74,274.49,0
17,i,17,517.57,271.05,0
18,i,18,519.47,267.62,0
19,i,19,521.44,264.24,0
20,i,20,523.48,260.92,0
21,i,21,525.59,257.68,0
22,i,22,527.81,254.47,0
23,i,23,530.14,251.31,0
24,i,24,532.58,248.23,0
25,i,25,535.12,245.26,0
26,i,26,537.75,242.43,0
27,i,27,540.52,239.75,0
28,i,28,543.44,237.17,0
29,i,29,546.46,234.66,0
30,i,30,549.53,232.21,0
31,i,31,552.58,229.77,0
32,i,32,555.6,227.29,0
33,i,33,558.62,224.76,0
34,i,34,561.68,222.29,0
35,i,35,564.81,219.95,0
36,i,36,568.04,217.84,0
37,i,37,571.39,215.96,0
38,i,38,574.89,214.13,0
39,i,39,578.49,212.45,0
40,i,40,582.16,211.0,0
41,i,41,585.88,209.88,0
42,i,42,589.63,209.12,0
43,i,43,593.45,208.46,0
44,i,44,597.33,207.88,0
45,i,45,601.25,207.43,0
46,i,46,605.16,207.16,0
47,i,47,609.05,207.12,0
48,i,48,612.95,207.28,0
49,i,49,616.85,207.59,0
50,i,50,620.75,208.02,0
51,i,51,624.62,208.53,0
52,i,52,628.45,209.09,0
53,i,53,632.26,209.83,0
54,i,54,636.07,210.83,0
55,i,55,639.83,212.03,0
56,i,56,643.52,213.39,0
57,i,57,647.11,214.83,0
58,i,58,650.58,216.42,0
59,i,59,653.99,218.32,0
60,i,60,657.32,220.45,0
61,i,61,660.55,222.73,0
62,i,62,663.69,225.07,0
63,i,63,666.74,227.44,0
64,i,64,669.75,229.94,0
65,i,65,672.68,232.57,0
66,i,66,675.51,235.31,0
67,i,67,678.19,238.14,0
68,i,68,680.69,241.06,0
69,i,69,683.06,244.12,0
70,i,70,685.33,247.3,0
71,i,71,687.51,250.58,0
72,i,72,689.6,253.91,0
73,i,73,691.6,257.25,0
74,i,74,693.48,260.64,0
75,i,75,695.27,264.11,0
76,i,76,697.02,267.6,0
77,i,77,698.79,271.09,0
78,i,78,700.64,274.52,0
79,i,79,702.57,277.91,0
80,i,80,704.54,281.28,0
81,i,81,706.54,284.63,0
82,i,82,708.61,287.94,0
83,i,83,710.73,291.21,0
84,i,84,712.94,294.4,0
85,i,85,715.28,297.52,0
86,i,86,717.69,300.59,0
87,i,87,720.11,303.66,0
88,i,88,722.48,306.76,0
89,i,89,724.75,309.92,0
90,i,90,726.97,313.13,0
91,i,91,729.15,316.36,0
92,i,92,731.3,319.61,0
93,i,93,733.45,322.87,0
94,i,94,735.6,326.12,0
95,i,95,737.76,329.37,0
96,i,96,739.9,332.63,0
97,i,97,742.04,335.89,0
98,i,98,744.17,339.15,0
99,i,99,746.3,342.42,0
100,i,0,501.92,357.89,1
101,i,1,502.37,353.97,1
102,i,2,502.86,350.06,1
103,i,3,503.37,346.15,1
104,i,4,503.91,342.25,1
105,i,5,504.47,338.35,1
106,i,6,505.06,334.45,1
107,i,7,505.71,330.57,1
108,i,8,506.38,326.69,1
109,i,9,507.05,322.8,1
110,i,10,507.69,318.91,1
111,i,11,508.24,315.0,1
112,i,12,508.67,311.06,1
113,i,13,509.02,307.11,1
114,i,14,509.39,303.18,1
115,i,15,509.84,299.29,1
116,i,16,510.47,295.45,1
117,i,17,511.41,291.63,1
118,i,18,512.61,287.84,1
119,i,19,514.0,284.1,1
120,i,20,515.48,280.43,1
121,i,21,517.0,276.83,1
122,i,22,518.65,273.27,1
123,i,23,520.51,269.74,1
124,i,24,522.54,266.3,1
125,i,25,524.7,262.98,1
126,i,26,526.97,259.81,1
127,i,27,529.42,256.81,1
128,i,28,532.1,253.92,1
129,i,29,534.92,251.13,1
130,i,30,537.83,248.4,1
131,i,31,540.73,245.7,1
132,i,32,543.61,243.02,1
133,i,33,546.52,240.36,1
134,i,34,549.48,237.75,1
135,i,35,552.48,235.18,1
136,i,36,555.52,232.67,1
137,i,37,558.58,230.19,1
138,i,38,561.67,227.67,1
139,i,39,564.8,225.19,1
140,i,40,568.0,222.83,1
141,i,41,571.29,220.72,1
142,i,42,574.69,218.92,1
143,i,43,578.25,217.31,1
144,i,44,581.93,215.83,1
145,i,45,585.69,214.49,1
146,i,46,589.49,213.31,1
147,i,47,593.28,212.28,1
148,i,48,597.09,211.33,1
149,i,49,600.94,210.41,1
150,i,50,604.82,209.58,1
151,i,51,608.71,208.89,1
152,i,52,612.61,208.39,1
153,i,53,616.54,208.14,1
154,i,54,620.51,208.12,1
155,i,55,624.49,208.32,1
156,i,56,628.45,208.68,1
157,i,57,632.33,209.19,1
158,i,58,636.13,209.88,1
159,i,59,639.9,211.01,1
160,i,60,643.62,212.5,1
161,i,61,647.26,214.21,1
162,i,62,650.79,216.04,1
163,i,63,654.19,217.9,1
164,i,64,657.51,219.99,1
165,i,65,660.75,222.3,1
166,i,66,663.89,224.77,1
167,i,67,666.92,227.34,1
168,i,68,669.82,229.96,1
169,i,69,672.64,232.68,1
170,i,70,675.4,235.54,1
171,i,71,678.05,238.51,1
172,i,72,680.58,241.56,1
173,i,73,682.94,244.68,1
174,i,74,685.15,247.9,1
175,i,75,687.24,251.23,1
176,i,76,689.26,254.64,1
177,i,77,691.25,258.06,1
178,i,78,693.26,261.47,1
179,i,79,695.29,264.85,1
180,i,80,697.29,268.25,1
181,i,81,699.28,271.66,1
182,i,82,701.3,275.04,1
183,i,83,703.38,278.39,1
184,i,84,705.54,281.67,1
185,i,85,707.78,284.91,1
186,i,86,710.08,288.12,1
187,i,87,712.41,291.3,1
188,i,88,714.75,294.48,1
189,i,89,717.08,297.66,1
190,i,90,719.45,300.8,1
191,i,91,721.85,303.94,1
192,i,92,724.24,307.07,1
193,i,93,726.6,310.23,1
194,i,94,728.89,313.43,1
195,i,95,731.14,316.66,1
196,i,96,733.35,319.93,1
197,i,97,735.53,323.21,1
198,i,98,737.68,326.52,1
199,i,99,739.78,329.86,1
200,i,0,494.92,348.59,2
201,i,1,495.47,344.72,2
202,i,2,496.23,340.88,2
203,i,3,497.14,337.07,2
204,i,4,498.14,333.29,2
205,i,5,499.16,329.55,2
206,i,6,500.22,325.82,2
207,i,7,501.43,322.06,2
208,i,8,502.81,318.34,2
209,i,9,504.35,314.72,2
210,i,10,506.07,311.27,2
211,i,11,508.02,308.05,2
212,i,12,510.42,305.05,2
213,i,13,513.12,302.19,2
214,i,14,515.92,299.36,2
215,i,15,518.64,296.49,2
216,i,16,521.14,293.48,2
217,i,17,523.63,290.44,2
218,i,18,526.11,287.36,2
219,i,19,528.49,284.23,2
220,i,20,530.65,281.01,2
221,i,21,532.5,277.67,2
222,i,22,534.02,274.14,2
223,i,23,535.31,270.46,2
224,i,24,536.49,266.71,2
225,i,25,537.7,262.96,2
226,i,26,539.07,259.29,2
227,i,27,540.6,255.7,2
228,i,28,542.2,252.1,2
229,i,29,543.88,248.55,2
230,i,30,545.64,245.06,2
231,i,31,547.5,241.68,2
232,i,32,549.5,238.4,2
233,i,33,551.71,235.15,2
234,i,34,554.11,231.98,2
235,i,35,556.66,228.95,2
236,i,36,559.33,226.14,2
237,i,37,562.11,223.56,2
238,i,38,565.11,221.05,2
239,i,39,568.31,218.67,2
240,i,40,571.65,216.5,2
241,i,41,575.08,214.61,2
242,i,42,578.56,213.06,2
243,i,43,582.15,211.66,2
244,i,44,585.86,210.36,2
245,i,45,589.65,209.21,2
246,i,46,593.48,208.26,2
247,i,47,597.3,207.56,2
248,i,48,601.14,206.99,2
249,i,49,605.02,206.48,2
250,i,50,608.92,206.06,2
251,i,51,612.83,205.79,2
252,i,52,616.72,205.71,2
253,i,53,620.6,205.87,2
254,i,54,624.49,206.3,2
255,i,55,628.37,206.92,2
256,i,56,632.23,207.67,2
257,i,57,636.03,208.49,2
258,i,58,639.77,209.38,2
259,i,59,643.51,210.55,2
260,i,60,647.21,211.97,2
261,i,61,650.82,213.58,2
262,i,62,654.32,215.31,2
263,i,63,657.66,217.13,2
264,i,64,660.91,219.23,2
265,i,65,664.07,221.59,2
266,i,66,667.11,224.13,2
267,i,67,670.04,226.77,2
268,i,68,672.84,229.43,2
269,i,69,675.56,232.2,2
270,i,70,678.2,235.1,2
271,i,71,680.74,238.11,2
272,i,72,683.16,241.19,2
273,i,73,685.44,244.34,2
274,i,74,687.54,247.58,2
275,i,75,689.51,250.94,2
276,i,76,691.4,254.36,2
277,i,77,693.31,257.78,2
278,i,78,695.29,261.15,2
279,i,79,697.39,264.44,2
280,i,80,699.54,267.7,2
281,i,81,701.71,270.93,2
282,i,82,703.91,274.16,2
283,i,83,706.1,277.38,2
284,i,84,708.29,280.61,2
285,i,85,710.47,283.84,2
286,i,86,712.65,287.07,2
287,i,87,714.85,290.29,2
288,i,88,717.08,293.49,2
289,i,89,719.34,296.67,2
290,i,90,721.64,299.81,2
291,i,91,723.97,302.94,2
292,i,92,726.32,306.05,2
293,i,93,728.67,309.17,2
294,i,94,731.01,312.28,2
295,i,95,733.36,315.4,2
296,i,96,735.71,318.51,2
297,i,97,738.06,321.62,2
298,i,98,740.42,324.72,2
299,i,99,742.78,327.82,2
300,i,0,494.92,342.83,3
301,i,1,495.54,338.95,3
302,i,2,496.22,335.09,3
303,i,3,496.96,331.24,3
304,i,4,497.75,327.4,3
305,i,5,498.58,323.57,3
306,i,6,499.46,319.76,3
307,i,7,500.44,315.97,3
308,i,8,501.46,312.18,3
309,i,9,502.5,308.4,3
310,i,10,503.49,304.61,3
311,i,11,504.4,300.79,3
312,i,12,505.24,296.96,3
313,i,13,506.03,293.11,3
314,i,14,506.84,289.27,3
315,i,15,507.68,285.46,3
316,i,16,508.62,281.66,3
317,i,17,509.65,277.87,3
318,i,18,510.78,274.08,3
319,i,19,511.99,270.33,3
320,i,20,513.3,266.64,3
321,i,21,514.7,263.05,3
322,i,22,516.31,259.5,3
323,i,23,518.16,256.0,3
324,i,24,520.19,252.58,3
325,i,25,522.35,249.27,3
326,i,26,524.6,246.11,3
327,i,27,527.0,243.08,3
328,i,28,529.61,240.15,3
329,i,29,532.38,237.31,3
330,i,30,535.25,234.58,3
